"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"QTS Irving Campus","Dallas","QTS Data Centers","138","NOT AVAILABLE","7.07"
"Neutron Data Center","Dallas","M&A Technology Inc.","138","NOT AVAILABLE","7.62"
"Epic.io Dallas Data Center","Dallas","Epic.io","138","NOT AVAILABLE","7.13"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","NOT AVAILABLE","7.08"
"Tier.Net Dallas Data Center","Dallas","TierNet","138","NOT AVAILABLE","6.43"
"QTS Irving DC3","Dallas","QTS Data Centers","138","NOT AVAILABLE","6.90"
"Psychz Dallas","Dallas","Psychz Networks","138","NOT AVAILABLE","6.43"
"8435 Stemmons Freeway (DFW36)","Dallas","Digital Realty","138","NOT AVAILABLE","7.67"
"4849 Alpha Road (DFW14)","Dallas","Digital Realty","138","NOT AVAILABLE","8.12"
"Hivelocity - Dallas 1","Dallas","Hivelocity","138","NOT AVAILABLE","6.43"
"PowerHouse Irving - Building A","Dallas","PowerHouse Data Centers","138","NOT AVAILABLE","2.89"
"PowerHouse Irving - Building C","Dallas","PowerHouse Data Centers","138","NOT AVAILABLE","3.10"
"PowerHouse Irving - Building B","Dallas","PowerHouse Data Centers","138","NOT AVAILABLE","3.01"
"Lumen Dallas","Dallas","Lumen","138","NOT AVAILABLE","7.30"
"QTS Irving DC5","Dallas","QTS Data Centers","138","NOT AVAILABLE","6.80"
"QTS Irving DC6","Dallas","QTS Data Centers","138","NOT AVAILABLE","6.80"
"IBM DAL05","Dallas","IBM","138","NOT AVAILABLE","8.12"
"Mobius Partners - Farmers Branch","Dallas","Mobius Partners","138","NOT AVAILABLE","8.51"
"Lumen Dallas","Dallas","Lumen","138","NOT AVAILABLE","9.91"
"PowerHouse Irving Campus","Dallas","PowerHouse Data Centers","138","NOT AVAILABLE","3.09"
"NocRoom Dallas Colocation and VPS","Dallas","NocRoom Miami Colocation VPS","138","NOT AVAILABLE","9.63"
"Eonix Communications Dallas","Dallas","Eonix Communications Inc","138","NOT AVAILABLE","1.11"
"Connect El Paso","El Paso","Connect Data Centers by Oppidan","115","EL PASO ELECTRIC CO.","5.61"
"Cogent Data Center - El Paso","El Paso","Cogent Communications, Inc.","115","EL PASO ELECTRIC CO.","6.86"
